City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Krasnoselkup,RU,2022-04-29 04:04:44,65.7,82.4667,28.45,97,99,13.53
1,Jamestown,US,2022-04-29 04:00:00,42.097,-79.2353,35.71,79,1,1.52
2,Bredasdorp,ZA,2022-04-29 04:04:46,-34.5322,20.0403,58.66,90,99,7.14
3,Codrington,AU,2022-04-29 04:04:47,-38.2667,141.9667,69.6,53,100,12.5
4,Albany,US,2022-04-29 04:01:04,42.6001,-73.9662,40.89,45,0,11.07
5,Urumqi,CN,2022-04-29 04:04:47,43.801,87.6005,59.95,27,20,2.24
6,Cartagena Del Chaira,CO,2022-04-29 04:04:48,1.3349,-74.8429,71.02,97,100,2.64
7,Waterloo,CA,2022-04-29 04:04:02,43.4668,-80.5164,35.65,50,1,6.98
8,Kavieng,PG,2022-04-29 04:04:49,-2.5744,150.7967,85.53,67,27,5.53
9,La Ronge,CA,2022-04-29 04:04:49,55.1001,-105.2842,36.73,99,100,3.36
10,Hobart,AU,2022-04-29 04:03:07,-42.8794,147.3294,71.46,70,75,10.36
11,Atuona,PF,2022-04-29 04:04:50,-9.8,-139.0333,79.5,74,79,19.13
12,Saint-Joseph,RE,2022-04-29 04:04:51,-21.3667,55.6167,75.58,75,25,8.77
13,Mataura,NZ,2022-04-29 04:02:27,-46.1927,168.8643,58.48,69,51,0.89
14,Witu,KE,2022-04-29 04:04:52,-2.3889,40.4382,80.76,90,93,7.87
15,Thompson,CA,2022-04-29 04:04:52,55.7435,-97.8558,33.66,96,100,6.76
16,Cabo San Lucas,MX,2022-04-29 04:04:27,22.8909,-109.9124,74.5,67,38,13.8
17,Presidencia Roque Saenz Pena,AR,2022-04-29 04:04:53,-26.7852,-60.4388,64.78,74,93,10.27
18,Matagami,CA,2022-04-29 04:04:54,49.7502,-77.6328,21.18,98,21,2.62
19,Saldanha,ZA,2022-04-29 04:04:54,-33.0117,17.9442,60.55,79,68,9.6
20,Port Elizabeth,ZA,2022-04-29 04:03:34,-33.918,25.5701,63.61,63,2,11.59
21,Dikson,RU,2022-04-29 04:04:55,73.5069,80.5464,13.01,90,61,18.61
22,Praia,CV,2022-04-29 04:04:56,14.9215,-23.5087,68.54,77,20,14.97
23,Bluff,NZ,2022-04-29 04:01:13,-46.6,168.3333,58.8,72,66,5.06
24,Pavilosta,LV,2022-04-29 04:04:56,56.8879,21.1859,31.91,88,25,4.81
25,Thio,NC,2022-04-29 04:04:57,-21.6167,166.2167,75.16,79,100,16.69
26,Gazanjyk,TM,2022-04-29 04:04:58,39.2446,55.5154,74.89,42,24,4.5
27,Punta Arenas,CL,2022-04-29 04:04:58,-53.15,-70.9167,42.91,70,75,18.41
28,Esperance,AU,2022-04-29 04:04:59,-33.8667,121.9,63.68,59,60,13.6
29,Vaini,TO,2022-04-29 04:05:00,-21.2,-175.2,78.96,73,75,10.36
30,Maniitsoq,GL,2022-04-29 04:05:00,65.4167,-52.9,31.78,99,100,16.22
31,Kruisfontein,ZA,2022-04-29 04:03:47,-34.0033,24.7314,58.87,73,10,14.88
32,San Quintin,MX,2022-04-29 04:05:01,30.4833,-115.95,56.91,77,0,19.37
33,Lompoc,US,2022-04-29 04:00:56,34.6391,-120.4579,52.59,80,0,5.01
34,New Norfolk,AU,2022-04-29 04:05:02,-42.7826,147.0587,71.1,56,100,8.19
35,Cape Town,ZA,2022-04-29 04:01:13,-33.9258,18.4232,58.26,87,98,1.01
36,Seoul,KR,2022-04-29 04:05:03,37.5683,126.9778,58.44,58,98,5.66
37,Kinablangan,PH,2022-04-29 04:05:04,7.6947,126.5503,81.0,79,98,5.88
38,Barstow,US,2022-04-29 04:05:04,34.8986,-117.0228,63.59,23,0,29.86
39,Lagoa,PT,2022-04-29 04:05:05,39.05,-27.9833,62.73,83,100,19.84
40,Castro,BR,2022-04-29 04:02:18,-24.7911,-50.0119,61.74,90,80,2.68
41,Shellbrook,CA,2022-04-29 04:05:06,53.2168,-106.4011,41.2,88,55,6.02
42,Hilo,US,2022-04-29 04:05:06,19.7297,-155.09,78.28,83,40,4.61
43,Bereda,ES,2022-04-29 04:05:07,43.2686,-7.5406,48.15,100,54,1.72
44,Charyshskoye,RU,2022-04-29 04:06:08,51.3978,83.5598,64.04,35,11,3.42
45,Kaeo,NZ,2022-04-29 04:06:08,-35.1,173.7833,64.33,84,44,10.76
46,Tezu,IN,2022-04-29 04:06:09,27.9167,96.1667,92.44,32,11,4.0
47,Kamenka,RU,2022-04-29 04:06:09,51.3223,42.7678,46.02,62,91,6.69
48,Namibe,AO,2022-04-29 04:06:10,-15.1961,12.1522,72.73,69,4,6.02
49,Bilibino,RU,2022-04-29 04:06:11,68.0546,166.4372,32.23,90,100,1.61
50,Champerico,GT,2022-04-29 04:06:11,14.3,-91.9167,84.45,67,13,3.44
51,Bundaberg,AU,2022-04-29 04:06:12,-24.85,152.35,82.69,64,40,16.11
52,Hermanus,ZA,2022-04-29 04:06:13,-34.4187,19.2345,61.57,82,100,11.54
53,Eregli,TR,2022-04-29 04:06:13,37.5133,34.0467,58.93,44,0,1.48
54,Chuy,UY,2022-04-29 04:06:14,-33.6971,-53.4616,47.19,70,0,8.34
55,Rikitea,PF,2022-04-29 04:06:14,-23.1203,-134.9692,77.07,69,1,19.1
56,Bubaque,GW,2022-04-29 04:06:15,11.2833,-15.8333,76.69,73,99,16.24
57,Busselton,AU,2022-04-29 04:04:09,-33.65,115.3333,64.2,57,18,3.74
58,Manavalakurichi,IN,2022-04-29 04:03:06,8.1333,77.3,87.19,70,82,7.94
59,Severo-Kurilsk,RU,2022-04-29 04:06:16,50.6789,156.125,35.24,90,87,17.05
60,Bengkulu,ID,2022-04-29 04:06:17,-3.8004,102.2655,84.61,68,99,6.55
61,Kavaratti,IN,2022-04-29 04:04:49,10.5669,72.642,84.94,75,87,5.91
62,Fairbanks,US,2022-04-29 04:01:39,64.8378,-147.7164,40.71,96,100,2.73
63,Kapaa,US,2022-04-29 04:02:22,22.0752,-159.319,75.11,83,28,3.0
64,Lavrentiya,RU,2022-04-29 04:06:18,65.5833,-171.0,31.55,91,94,9.78
65,Port Alfred,ZA,2022-04-29 04:06:19,-33.5906,26.891,69.19,60,7,7.0
66,Havoysund,NO,2022-04-29 04:06:19,70.9963,24.6622,26.83,67,100,25.61
67,Norman Wells,CA,2022-04-29 04:06:20,65.282,-126.8329,32.79,79,99,6.93
68,Tuktoyaktuk,CA,2022-04-29 04:06:21,69.4541,-133.0374,14.4,94,99,9.64
69,Honningsvag,NO,2022-04-29 04:06:21,70.9821,25.9704,26.35,93,75,9.22
70,Bathsheba,BB,2022-04-29 04:06:22,13.2167,-59.5167,78.76,85,98,15.21
71,Chokurdakh,RU,2022-04-29 04:06:23,70.6333,147.9167,10.08,86,39,3.85
72,Portland,US,2022-04-29 04:05:35,45.5234,-122.6762,50.49,85,40,3.44
73,Rundu,NA,2022-04-29 04:06:23,-17.9333,19.7667,58.93,59,4,6.13
74,Skjervoy,NO,2022-04-29 04:06:24,70.0311,20.9714,30.2,64,100,29.33
75,Paraibano,BR,2022-04-29 04:06:25,-6.4331,-43.9836,74.08,78,99,2.08
76,Priiskovyy,RU,2022-04-29 04:06:25,51.9333,116.6333,42.24,44,100,17.18
77,Tambopata,PE,2022-04-29 04:06:26,-12.7333,-69.1833,74.16,93,100,1.68
78,Victoria,HK,2022-04-29 04:06:21,22.2855,114.1577,88.97,75,42,7.0
79,Tasiilaq,GL,2022-04-29 04:06:27,65.6145,-37.6368,28.56,84,75,5.01
80,Cidreira,BR,2022-04-29 04:06:27,-30.1811,-50.2056,65.44,84,99,12.48
81,Bethel,US,2022-04-29 04:06:28,41.3712,-73.414,44.69,41,0,4.61
82,Narsaq,GL,2022-04-29 04:06:29,60.9167,-46.05,43.02,81,100,1.54
83,Huangmei,CN,2022-04-29 04:06:29,30.1924,116.025,61.09,72,91,7.27
84,Georgetown,MY,2022-04-29 04:05:39,5.4112,100.3354,87.73,79,20,5.75
85,Ushuaia,AR,2022-04-29 04:02:31,-54.8,-68.3,37.87,98,100,2.95
86,Puerto Ayora,EC,2022-04-29 04:06:30,-0.7393,-90.3518,71.28,93,6,6.26
87,Airai,TL,2022-04-29 04:06:31,-8.9266,125.4092,76.8,42,91,2.24
88,Beringovskiy,RU,2022-04-29 04:06:32,63.05,179.3167,29.61,83,100,14.2
89,Barrow,US,2022-04-29 04:04:59,71.2906,-156.7887,8.62,78,100,19.57
90,Butaritari,KI,2022-04-29 04:07:33,3.0707,172.7902,82.17,74,96,16.26
91,Chama,CH,2022-04-29 04:07:33,47.1821,8.4636,43.54,85,5,1.74
92,Tuatapere,NZ,2022-04-29 04:07:34,-46.1333,167.6833,57.67,72,100,2.73
93,Kirakira,SB,2022-04-29 04:07:35,-10.4544,161.9205,84.51,73,100,1.99
94,Hasaki,JP,2022-04-29 04:06:16,35.7333,140.8333,57.6,90,100,17.31
95,Haines Junction,CA,2022-04-29 04:07:35,60.7522,-137.5108,37.53,89,59,3.76
96,Nanortalik,GL,2022-04-29 04:07:36,60.1432,-45.2371,38.32,82,100,3.06
97,Hamilton,US,2022-04-29 04:07:37,39.1834,-84.5333,54.75,52,100,10.36
98,Beyneu,KZ,2022-04-29 04:07:37,45.3167,55.2,70.63,28,77,6.46
99,North Bend,US,2022-04-29 04:05:11,43.4065,-124.2243,49.86,96,100,6.91
100,Pisco,PE,2022-04-29 04:07:38,-13.7,-76.2167,64.45,88,0,9.22
101,Krasnyy Chikoy,RU,2022-04-29 04:07:39,50.3643,108.7512,45.75,22,2,10.8
102,Tiksi,RU,2022-04-29 04:07:39,71.6872,128.8694,22.55,79,90,9.95
103,Avarua,CK,2022-04-29 04:07:40,-21.2078,-159.775,80.65,83,98,11.5
104,Najran,SA,2022-04-29 04:07:41,17.4924,44.1277,70.99,51,0,1.52
105,Richards Bay,ZA,2022-04-29 04:07:41,-28.783,32.0377,61.39,85,0,10.54
106,Eyl,SO,2022-04-29 04:07:42,7.9803,49.8164,83.34,73,11,3.98
107,Saint-Augustin,CA,2022-04-29 04:07:43,51.226,-58.6502,33.51,99,100,15.21
108,Dinguiraye,GN,2022-04-29 04:07:43,11.3,-10.7167,74.41,74,100,5.17
109,Namatanai,PG,2022-04-29 04:07:44,-3.6667,152.4333,86.2,64,100,4.9
110,Poum,NC,2022-04-29 04:07:44,-20.2333,164.0167,75.87,76,100,15.86
111,Atar,MR,2022-04-29 04:07:45,20.5169,-13.0499,73.0,18,1,7.99
112,Kaitangata,NZ,2022-04-29 04:07:46,-46.2817,169.8464,53.04,76,1,4.38
113,Coihaique,CL,2022-04-29 04:07:46,-45.5752,-72.0662,30.15,93,75,1.14
114,Mehamn,NO,2022-04-29 04:07:47,71.0357,27.8492,26.55,80,75,13.8
115,Port Hardy,CA,2022-04-29 04:07:47,50.6996,-127.4199,44.82,84,94,5.82
116,East London,ZA,2022-04-29 04:07:48,-33.0153,27.9116,72.86,46,3,7.43
117,Talnakh,RU,2022-04-29 04:07:49,69.4865,88.3972,16.21,79,100,7.56
118,Mar Del Plata,AR,2022-04-29 04:05:09,-38.0023,-57.5575,45.88,78,0,10.0
119,Ribeira Grande,PT,2022-04-29 04:07:49,38.5167,-28.7,63.05,87,80,22.39
120,Beian,NO,2022-04-29 04:07:50,63.6559,9.5683,39.0,81,75,10.36
121,Kasama,ZM,2022-04-29 04:07:51,-10.2129,31.1808,54.32,99,40,3.04
122,Dudinka,RU,2022-04-29 04:07:51,69.4058,86.1778,16.63,86,100,9.04
123,Cherskiy,RU,2022-04-29 04:07:52,68.75,161.3,21.67,89,99,11.79
124,Pevek,RU,2022-04-29 04:07:53,69.7008,170.3133,30.06,92,100,10.71
125,Galle,LK,2022-04-29 04:03:23,6.0367,80.217,85.64,68,92,5.1
126,Ahipara,NZ,2022-04-29 04:07:53,-35.1667,173.1667,65.25,70,53,7.09
127,Itamaraju,BR,2022-04-29 04:07:54,-17.0392,-39.5311,68.67,97,1,2.26
128,Zemio,CF,2022-04-29 04:07:54,5.0314,25.1361,67.62,97,98,3.0
129,Ilulissat,GL,2022-04-29 04:07:55,69.2167,-51.1,26.62,100,20,3.44
130,Spas-Klepiki,RU,2022-04-29 04:07:56,55.1347,40.1767,39.88,62,99,3.51
131,Hailar,CN,2022-04-29 04:07:56,49.2,119.7,46.6,38,85,13.94
132,Dwarka,IN,2022-04-29 04:07:57,22.2394,68.9678,87.53,59,0,13.35
133,Mandalgovi,MN,2022-04-29 04:07:57,45.7625,106.2708,40.01,26,4,20.89
134,Hervey Bay,AU,2022-04-29 04:07:58,-25.2986,152.8535,79.02,71,45,5.99
135,Vostok,RU,2022-04-29 04:07:59,46.4856,135.8833,48.45,26,32,9.42
136,Longyearbyen,SJ,2022-04-29 04:07:59,78.2186,15.6401,6.64,61,20,16.11
137,Ballina,AU,2022-04-29 04:09:00,-28.8667,153.5667,78.01,86,18,8.12
138,Vila Velha,BR,2022-04-29 04:07:03,-20.3297,-40.2925,73.94,95,0,2.3
139,Raigarh,IN,2022-04-29 04:09:01,21.9,83.4,102.42,11,0,2.64
140,Sao Joao Da Barra,BR,2022-04-29 04:06:51,-21.6403,-41.0511,74.91,90,0,12.06
141,Saint George,US,2022-04-29 04:09:02,37.1041,-113.5841,72.19,7,0,9.22
142,Deputatskiy,RU,2022-04-29 04:09:02,69.3,139.9,16.92,77,77,2.84
143,Pekan,MY,2022-04-29 04:09:03,3.4836,103.3996,89.15,60,68,1.97
144,Itumba,TZ,2022-04-29 04:09:03,-9.4,33.1833,59.0,99,89,3.85
145,Clyde River,CA,2022-04-29 04:09:04,70.4692,-68.5914,5.23,92,100,2.3
146,Bloomsburg,US,2022-04-29 04:09:05,41.0037,-76.4549,41.18,59,0,3.8
